Content_ID,Title,Type,Genre,Platform,Release_Year,Duration_Minutes,Viewer_Rating,Number_of_Reviews,Language,Country,Watched_Percentage,Is_Original,Main_Actors,Tags,Description
MV00001,Off middle,movie,Documentary,Disney+,2018,9999,3.9,20288,English,USA,92.69,no,"Brandon Mendoza, Victoria Andrews","Fantasy, Feel-Good, Feel-Good, Mystery",
MV00002,Ground,series,Action,Netflix,1986,9999,1.1,37610,Hindi,UK,12.76,no,,"Sci-Fi, Mystery, Supernatural",Project role goal anyone along avoid hit human join another this seven trial eat health figure force maybe.
MV00003,Article radio,series,Documentary,Disney+,2004,42,,30347,Korean,India,,No,"Rachel Simpson, Joshua Palmer","Comedy, Fantasy, Supernatural",
MV00004,Responsibility hit difficult vote,movie,Sci-Fi,HBO,,128,,16473,English,UK,85.04,,"Todd Santana, Tina Gonzalez","Drama, Drama, Supernatural",Establish can budget drop matter individual action every every.
MV00005,Debate,Series,Fantasy,Netflix,,61,5.9,15015,Japanese,France,84.91,no,"Connor Duke, Billy Love","Drama, Drama",Official where rate surface consider face design leave ground ask participant cut step seat win speak.
MV00006,Kind interview sea work,Movie,Comedy,Disney+,1992,104,11,25166,Hindi,France,77.77,no,"Melissa Harris, Russell Roy","Horror, Sci-Fi, Supernatural, Romance",They draw really can participant unit send scientist group thus house hotel front why who however total some picture prove exist forward.
MV00007,Event job else,Series,Fantasy,HBO,,0,11,7538,Spanish,Japan,,,,"Supernatural, Action, Comedy, Romance",Size service remain wide place wind almost film husband prove natural article just teacher big father follow decide eye home sense other.
MV00008,Chance mention,series,Horror,Netflix,2001,0,11,24712,English,Japan,,no,"Belinda Larson, Charles Jackson","Sci-Fi, Drama",Receive option idea mission white simple property professor trouble example total better magazine strong imagine common.
MV00009,Second be foreign collection theory,series,Fantasy,Prime,2020,9999,4,1763,Hindi,South Korea,,,"Ashley Sanchez, Linda Burke","Mystery, Comedy, Action",
MV00010,Including pick discuss,Movie,Action,Prime,,9999,3.6,46572,French,Japan,98.66,no,"Richard Gray, Sandra Stewart","Drama, Supernatural",
MV00011,Name middle run last,Series,Fantasy,Hulu,1999,175,3.8,16295,Hindi,France,,No,,"Mystery, Romance, Drama",Probably strategy natural fine statement garden yet character experience word future coach big themselves.
MV00012,Upon feeling,Movie,Comedy,Netflix,,118,5.8,38937,English,Canada,,No,"Veronica Campbell, Kathy Lopez","Action, Horror, Horror",Or building business apply life speak.
MV00013,Condition pattern class computer usually,movie,Horror,netflix,,109,5.9,15193,Korean,USA,56.43,no,"Kathryn Riggs, Paul Davis","Mystery, Fantasy, Sci-Fi, Comedy",Drug professor same ask indeed go bag between during likely religious contain last avoid change threat Republican traditional plant.
